crs_id	crs_text	fra_id	fra_text
10991766	Orevwar!	13436	Au revoir !
10991767	Byento!	337862	À bientôt !
10991768	Mon fatige!	3525	Je suis fatigué !
10991774	Petet.	7364367	Peut-être.
10991775	Mon byen regrete.	1833890	Je regrette.
10991779	Bonzour!	373345	Bonjour !
10991796	Domaz!	883800	Dommage !
10991797	Domaz.	914641	Dommage.
10991821	Mon dakor!	1157479	D'accord !
10991823	Bonnwit!	427110	Bonne nuit !
10991824	Bonswar!	333159	Bonsoir !
10991825	Mersi.	2302907	Merci.
10991827	Mersi!	374826	Merci !
10991829	Silvouple.	487759	S'il vous plaît.
10991830	Wi.	477136	Oui.
10991874	Konman ou sa va?	4189529	Comment ça va ?
10991946	Bon vwayaz!	435206	Bon voyage !
10992075	Felisitasyon!	628277	Félicitations !
10992831	Byenveni.	3138579	Bienvenue.
10992978	Pa mal.	1073957	Pas mal.
10995062	Ala mon ladres.	10995063	Voici mon adresse.
10995511	Mon okipe.	127910	Je suis occupé.
10995511	Mon okipe.	4320601	Je suis occupée.
10995580	Mon apel Tom.	3138573	Je m'appelle Tom.
10995597	Mon swaf.	3636	J'ai soif.
10995606	Kisisa?	3094	Qu'est-ce que c'est ?
10995611	Petet en lot fwa.	5982066	Peut-être une autre fois.
10995623	Delo silvuple.	1922561	De l'eau, s'il vous plaît.
10995637	Se gratwit.	181983	C'est gratuit.
10995641	I zoli.	837673	C'est joli.
10995644	I tro ser!	3539	C'est trop cher !
10995648	Ou kapab ed mwan?	1159440	Pouvez-vous m'aider ?
10995655	Ozordi letan i bon.	685000	Il fait beau temps aujourd'hui.
10995669	Eskiz mwan.	10459	Excuse-moi.
10995674	Ki zour ozordi?	557954	Quel jour sommes-nous aujourd'hui ?
10995685	Demen Dimans.	1344152	Demain, c'est dimanche.
10995691	Kot ou ti ete?	445166	Où étiez-vous ?
10995694	Ki li ki la?	1158571	Qui est là ?
10995697	Ki sa?	347336	Qui est-ce ?
10995946	Tre byen!	1951925	Très bien !
10995957	Zanmen mon obli sa.	1804310	Je n'oublierai jamais ça.
10995970	Lapli pa pe tonbe.	1556763	Il ne pleut pas.
10995976	Mon kontan.	5369590	Je suis content.
10995978	Mon annan trwa zanfan.	3589312	J'ai trois enfants.
10995989	Mon ti dormi byen.	14768	J'ai bien dormi.
10996000	Mon malad latet.	129589	J'ai mal à la tête.
10996014	Kote labank i ete?	504871	Où est la banque ?
10996021	Sa in kase.	2252814	Ceci est cassé.
10996033	I bonmarse.	5293637	C'est bon marché.
10996036	Se tro!	11876	C'est trop !
10996041	Enkor en pe.	522401	Encore un peu.
10996043	Mersi bokou!	3381	Merci beaucoup !
10996051	Napa papye twalet.	936843	Il n'y a pas de papier toilette.
10996065	Lanmer i kalm.	1911700	La mer est calme.
10996073	Sa i kout ser.	8741447	Ça coûte cher.
10951847	Mon pa konpran.	3528	Je ne comprends pas.
10951844	Pa fer naryen!	1057945	Ça ne fait rien !
11002129	Mon pa konpran Angle.	6803	Je ne comprends pas l'anglais.
11002135	Mon pa konpran Franse.	6463307	Je ne comprends pas le français.
