gcf_id	gcf_text	fra_id	fra_text
7479407	Zouk-la sé sèl médikaman nou ni.	7479428	Le zouk est le seul remède que nous ayons.
7479407	Zouk-la sé sèl médikaman nou ni.	7479459	Le zouk est le seul médicament qu'on ait.
7479857	Mwen sé Tòm.	3344396	Je suis Tom.
7481073	Wédé mwen !	7489065	Aidez-moi !
7484450	Pa ni pwoblèm.	237220	Pas de problème.
7808448	Mwen ka lévé gwan bonnè.	2347563	Je me lève tôt.
7808451	Pwason ka viv an dlo.	379653	Les poissons vivent dans l'eau.
7808452	I pwan pwa.	130880	Il a pris du poids.
7808454	An ka manjé on sandouch.	3137254	Je mange un sandwich.
7808463	Tin swasant sigonn adan on minit.	2804873	Il y a soixante secondes dans une minute.
7819476	Tòm fè on aksidan loto.	6080486	Thomas a eu un accident de voiture.
7819479	Mwen enmé'w !	3250	Je t'aime !
7819481	An vé pa ay lékòl.	3684	Je ne veux pas aller à l'école.
7819484	Lapen ni zòwèy long.	528290	Les lapins ont de longues oreilles.
7819485	Lapen ni gwan zòwèy.	10747	Les lapins ont de grandes oreilles.
7819488	An sòti twapé on lidé.	2369915	Je viens d'avoir une idée.
7819489	Mwen sòti twapé on lidé.	2369915	Je viens d'avoir une idée.
7819493	Bousòl-la ka di ou nò-la yé.	1044236	La boussole indique le nord.
7819495	Bousòl ka di ou nò-la yé.	1044236	La boussole indique le nord.
7481329	Fo'w wouvini.	4601830	Il faut que tu reviennes.
7820119	An blésé mwen.	7276418	Je me suis blessé.
7820121	An konstipé.	135007	Je suis constipé.
7820122	Mwen konstipé.	135007	Je suis constipé.
7820130	Mwen malad.	459031	Je suis malade.
7820131	Ou pé sizé.	5403613	Tu peux t'asseoir.
7484450	Pa ni pwoblèm.	1609111	Il n'y a pas de quoi.
7820141	Kijan a'w ?	7820140	Que deviens-tu ?
7820141	Kijan a'w ?	7820143	Tu deviens quoi ?
7820144	An mayé.	429278	Je suis marié.
7820146	Mwen mayé.	429278	Je suis marié.
7820147	An ni timoun.	4681817	J'ai des enfants.
7820148	Mwen ni timoun.	4681817	J'ai des enfants.
7820150	Ki lè i yé ?	3474	Quelle heure est-il ?
7820151	Nou ka fèmé a sétèdswè.	7775693	Nous fermons à 19 heures.
7820152	Tòm toujou ka pléré.	6821307	Tom pleure tout le temps.
7820154	I pran on katon wouj.	7820171	Il a eu un carton rouge.
7820175	I pa konprann hak.	5161902	Il n'a rien compris.
7820182	An achté on téléfòn nèf.	7724071	J'ai acheté un nouveau téléphone.
7820183	Mwen achté on téléfòn nèf.	7724071	J'ai acheté un nouveau téléphone.
7820192	Vòlkan-la ka pété.	7820189	Le volcan entre en éruption.
7820196	Loto an mwen pran pann.	890062	Ma voiture est en panne.
7820197	I malad.	133247	Il est malade.
7820201	An té fen.	473464	J'avais faim.
7820300	An fen !	10146	J'ai faim !
7820301	Mwen fen !	10146	J'ai faim !
7820315	Ou pa ni wézon.	2071345	Tu n'as pas raison.
7820325	An ka pèd souf.	4551226	Je suis à bout de souffle.
7820329	Mwen ka pèd souf.	4551226	Je suis à bout de souffle.
7820336	An las !	3525	Je suis fatigué !
7820338	Mwen las !	3525	Je suis fatigué !
7820352	Pa bizwen pè.	961728	Ne crains rien.
7820366	Yonn, dé, twa, kat, senk, sis, sèt, ywit, nèf, dis.	3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.
7820379	Ay tou dwèt !	2283582	Continuez tout droit !
7820380	Yo té las.	2936355	Ils étaient fatigués.
7820413	Ovwa !	13436	Au revoir !
7820420	A talè !	829076	À tout à l'heure !
7820422	Awa !	8795	Non !
7820423	Non !	8795	Non !
7820438	Mèsi !	374826	Merci !
7820446	O sé twalèt-la yé ?	3946	Où sont les toilettes ?
7820450	Ola sé twalèt-la yé ?	3946	Où sont les toilettes ?
7820458	O sé twalèt-la yé souplè ?	1047127	Où sont les toilettes, s'il vous plait ?
7820461	Ola sé twalèt-la yé souplè ?	1047127	Où sont les toilettes, s'il vous plait ?
7820472	Ès ou pé woudi sa ?	1101505	Pouvez-vous répéter cela ?
7820474	Poukisa ?	375871	Pourquoi ?
7820477	Kitan ?	4890902	Quand ?
7820479	Kimoun ?	4366796	Qui ?
7820489	I ké vin dèmen.	1964760	Il viendra demain.
7820491	I ké vini dèmen.	1964760	Il viendra demain.
7820505	Mèsi onpil !	3381	Merci beaucoup !
7820510	Sa k'ay ?	14970	Ça va ?
7820512	Sa k'ay.	744360	Ça va.
