hat_id	hat_text	eng_id	eng_text
1897919	Bonjou!	373330	Hello!
1897920	Byen veni.	138919	Welcome.
1897921	Koman ou ye?	373320	How are you?
1897923	Bon apre-midi!	499689	Good afternoon.
2180406	Ou, nou papa ki dan lesyel, Fer ou ganny rekonnet konman Bondye.	1159205	Our Father in heaven, hallowed be your name.
3138149	"Mesi." "De ryen."	2077	"Thank you." "You're welcome."
3138151	Kijan ou di "Mwen renmen w" an franse?	2417967	How do you say "I love you" in French?
3138152	Kijan ou di...?	602241	How do you say...?
3138153	Kijan ou di "kaisha" an angle?	847423	How do you say "kaisha" in English?
3138154	Kijan ou di "yuri" an angle?	1312867	How do you say "yuri" in English?
3138155	Kijan ou di "fromaj" an alman?	2709233	How do you say "cheese" in German?
3138157	Bonjou, Tom. Bon maten.	30314	Hello, Tom. Good morning.
3138158	Bon maten, Mike.	64918	Good morning, Mike.
3138159	Bon maten!	329713	Good morning!
3138160	Bon maten. Koman ou ye?	434812	Good morning. How are you?
3138161	Bonjou! Bon maten!	435082	Hello! Good morning!
3138572	Non mwen sè Tom	1173265	My name is Tom.
3213631	Ki lè li fè?	428402	What time is it?
3214262	Mwen pa konprann.	376611	I don't understand.
3214266	Mwen pa konnen.	349064	I don't know.
3633477	M pa vlè alè nan lekòl.	1860	I don't want to go to school.
3649392	Se kay Anita.	3649391	It is Anita's house.
4256771	Burj Khalifa aktyelman se gratsyél ki pi wo nan mond.	1399479	Burj Khalifa is currently the tallest skyscraper in the world.
4256772	Burj Khalifa kounye a se gratsyél ki pi wo nan mond.	1399479	Burj Khalifa is currently the tallest skyscraper in the world.
4257292	Aktyelman Burj Khalifa se gratsyél ki pi wo nan mond lan.	1399479	Burj Khalifa is currently the tallest skyscraper in the world.
2427231	Matant mwen renmen kreyòl mizik.	4697782	My aunt loves Creole music.
4257292	Aktyelman Burj Khalifa se gratsyél ki pi wo nan mond lan.	4697783	Currently Burj Khalifa is the tallest skyscraper in the world.
4697785	M a rete lakay mwen an demen.	4697772	I'll stay home tomorrow.
4697786	Yo a konprann nou.	4695595	They'll understand us.
4697787	M te vini, m te wè, m te vannen.	4695590	I came; I saw; I conquered.
4697789	Yo a ka kanpe w.	4695573	They won't be able to stop you.
4697794	Eske Galileo Galilei se yon vrè non?	4695570	Is Galileo Galilei a real name?
4697809	Tom fè plis lajan pase paran li yo.	4695538	Tom makes more money than his parents.
4697811	Mwen te timid.	4695537	I was shy.
4697813	M renmen fim sa a.	4695515	I like this film.
4697819	Fèmen pòt sa a!	4695243	Close that door!
4697823	Tanpri ban m youn.	4695216	Please give me one.
4697829	"Eske w pale franse?" "Non."	4695005	"Do you speak French?" "No."
4697839	Li pa renmen pwason.	4694955	She doesn't like fish.
