APiCS Online -- Structure dataset (feature-value table): Sranan
Lexifier: English | Region: Caribbean
Source: https://apics-online.info/contributions/2
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Sranan>  [source citation]
161 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [more]
2. Order of possessor and possessum -- Possessum-possessor  [more]
2. Order of possessor and possessum -- Possessor-possessum  [more]
3. Order of adjective and noun -- Modifying adjective precedes noun  [more]
4. Order of adposition and noun phrase -- Prepositions  [more]
5. Order of demonstrative and noun -- Demonstrative word follows noun  [more]
5. Order of demonstrative and noun -- Demonstrative word precedes noun  [more]
6. Order of cardinal numeral and noun -- Numeral precedes noun  [more]
7. Order of relative clause and noun -- Relative clause follows noun  [more]
8. Order of degree word and adjective -- Degree word follows adjective  [more]
8. Order of degree word and adjective -- Degree word precedes adjective  [more]
9. Position of definite article in the noun phrase -- Definite article is preposed  [more]
10. Position of indefinite article in the noun phrase -- Indefinite article is preposed  [more]
11. Order of frequency adverb, verb, and object -- Adverb – verb – object  [more]
11. Order of frequency adverb, verb, and object -- Verb – object – adverb  [more]
12. Position of interrogative phrases in content questions -- Interrogative phrase initial  [more]
13. Gender distinctions in personal pronouns -- No gender distinctions  [more]
14. Dual in independent personal pronouns -- No special dual form  [more]
15. Inclusive/exclusive distinction in independent personal pronouns -- Inclusive and exclusive differentiated  [more]
16. Person syncretism in independent personal pronouns -- Syncretism between 1st and 2nd person  [more]
17. Special dependent person forms for subject and object -- Only dependent subject forms  [more]
18. Politeness distinctions in second-person pronouns -- No pronominal politeness distinction  [more]
19. Interrogative pronouns -- Two compound expressions  [more]
20. Pronoun conjunction -- Singular pronoun overtly conjoined with other conjunct  [more]
21. Indefinite pronouns -- Generic-noun-based indefinites  [more]
22. Occurrence of nominal plural markers -- Variable plural marking of human or inanimate nouns  [more]
23. Expression of nominal plural meaning -- Plural word preceding the noun  [more]
24. The associative plural -- No associative plural marker  [more]
25. Nominal plural marker and third-person-plural pronoun -- Identity  [more]
