djk_id	djk_text	eng_id	eng_text
1	Disi na a lo avo gaansama fu Masaa Jesesi Kelestesi, a bakaten manpikin fu Kownu Dafeti paansu. Dafeti seefi na wan baka bakaten pikin fu Abalaham paansu, a moo gaandi avo gaansama fu ala Dyusama.	1	The book of the genealogy of Jesus Christ , the son of David, the son of Abraham.
2	Ne Abalaham meke Isaki. Ne Isaki meke Jakopu. Ne Jakopu meke Juda anga den taa elufu baala fi en.	2	Abraham became the father of Isaac. Isaac became the father of Jacob. Jacob became the father of Judah and his brothers.
3	Juda dati sete a lo fu den Dyusama den e kai Juda. Bika en anga a uman di den e kai Tamal meke Pelesi anga Seila. Ne Pelesi meke Sesilon. Bakadati, ne Sesilon meke Alan.	3	Judah became the father of Perez and Zerah by Tamar. Perez became the father of Hezron. Hezron became the father of Ram.
4	Ne Alan meke Amenadabu. Ne Amenadabu meke Nakson. Ne Nakson meke Salmon.	4	Ram became the father of Amminadab. Amminadab became the father of Nahshon. Nahshon became the father of Salmon.
5	We, ne Salmon anga a uman den e kai Laakabu meke Bowasi. Ne Bowasi anga a uman den e kai Lotu meke Obeti. Bakadati, ne Obeti meke Isai.	5	Salmon became the father of Boaz by Rahab. Boaz became the father of Obed by Ruth. Obed became the father of Jesse.
6	Ne Isai meke Dafeti, a kownu. Namo, ne Kownu Dafeti anga a uman fu Uliya meke Salomo.	6	Jesse became the father of King David. David became the father of Solomon by her who had been the wife of Uriah.
7	Ne Salomo meke Lekabeyamu. Ne Lekabeyamu meke Abiya. Namo, ne Abiya, meke Asa.	7	Solomon became the father of Rehoboam. Rehoboam became the father of Abijah. Abijah became the father of Asa.
8	Ne Asa meke Jowsafati. Ne Jowsafati meke Yoolam. Ne Yoolam meke Usiya.	8	Asa became the father of Jehoshaphat. Jehoshaphat became the father of Joram. Joram became the father of Uzziah.
9	Ne Usiya meke Yowtam. Ne Yowtam meke Akasi. Namo, ne Akasi meke Heskiya.	9	Uzziah became the father of Jotham. Jotham became the father of Ahaz. Ahaz became the father of Hezekiah.
10	Ne Heskiya meke Manase. Ne Manase dati meke Amon. Bakadati, ne Amon meke Yowsiya.	10	Hezekiah became the father of Manasseh. Manasseh became the father of Amon. Amon became the father of Josiah.
11	Ne Yowsiya meke Yekoniya anga den taa baala fu Yekoniya. Da na a ten de, ne den sama fu Babilon Kondee be kon meke oloku anga den Dyusama. Ne den kisi den Dyusama puu a Dyu Kondee tyai go poti a Babilon.	11	Josiah became the father of Jechoniah and his brothers, at the time of the exile to Babylon.
12	We, baka di den kisi den Dyusama so, ne Yekoniya meke Seyaltiyeli. Namo, ne Seyaltiyeli meke Selubabeli.	12	After the exile to Babylon, Jechoniah became the father of Shealtiel. Shealtiel became the father of Zerubbabel.
13	Ne Selubabeli meke Abihutu. Ne Abihutu meke Eliyaken. Ne Eliyaken meke Asolu.	13	Zerubbabel became the father of Abiud. Abiud became the father of Eliakim. Eliakim became the father of Azor.
14	Ne Asolu meke Saadoki. Ne Saadoki dati meke Akin. Namo, ne Akin dati meke Eliyutu.	14	Azor became the father of Sadoc. Sadoc became the father of Achim. Achim became the father of Eliud.
15	Namo, ne Eliyutu meke Eliyasa. Ne Eliyasa dati meke Matan. Da Matan dati meke Jakopu.	15	Eliud became the father of Eleazar. Eleazar became the father of Matthan. Matthan became the father of Jacob.
16	Te fu kaba, na a Jakopu ya meke Jowsef, a man fu Maliya. Maliya na a mma fu Jesesi di den e kai a Kelestesi.	16	Jacob became the father of Joseph, the husband of Mary, from whom was born Jesus , who is called Christ.
17	We, te u teli komoto na a fosi gaansama Abalaham go miti Kownu Dafeti, da na tin na fo dada meke pikin. Da fu komoto a Kownu Dafeti go doo a yuu di den Babilon sama kon kisi den Dyusama tyai gwe, da na tin na fo dada meke pikin tu. Soseefi fu teli komoto na a yuu di den Dyusama go a Babilon Kondee, go miti a ten di a Kelestesi meke, da na soseefi tin na fo dada meke pikin tu.	17	So all the generations from Abraham to David are fourteen generations; from David to the exile to Babylon fourteen generations; and from the carrying away to Babylon to the Christ, fourteen generations.
18	Ma namo, da a de so taki, Maliya na be a poti mofu uman fu Jowsef. Den be de fu libi, ma Maliya kon de anga bee, sondee fu Jowsef sabi en, uman fasi. A Jeje fu Masaa Gadu meke Maliya de anga a bee.	18	Now the birth of Jesus Christ was like this; for after his mother, Mary, was engaged to Joseph, before they came together, she was found pregnant by the Holy Spirit.
