APiCS Online -- Structure dataset (feature-value table): Juba Arabic
Lexifier: Arabic | Region: Central and East Africa
Source: https://apics-online.info/contributions/64
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Juba Arabic>  [source citation]
153 features recorded for this language in the primary structure dataset.

---

1. Order of subject, object, and verb -- Subject-verb-object (SVO)  [more]
2. Order of possessor and possessum -- Possessum-possessor  [more]
3. Order of adjective and noun -- Modifying adjective follows noun  [more]
4. Order of adposition and noun phrase -- Prepositions  [more]
5. Order of demonstrative and noun -- Demonstrative word follows noun  [more]
6. Order of cardinal numeral and noun -- Numeral precedes noun  [more]
7. Order of relative clause and noun -- Relative clause follows noun  [more]
8. Order of degree word and adjective -- Degree word follows adjective  [more]
9. Position of definite article in the noun phrase -- The language has no definite article  [more]
10. Position of indefinite article in the noun phrase -- The language has no indefinite article  [more]
11. Order of frequency adverb, verb, and object -- Verb – object – adverb  [more]
12. Position of interrogative phrases in content questions -- Interrogative phrase initial  [more]
12. Position of interrogative phrases in content questions -- Interrogative phrase not initial  [more]
13. Gender distinctions in personal pronouns -- No gender distinctions  [more]
14. Dual in independent personal pronouns -- No special dual form  [more]
15. Inclusive/exclusive distinction in independent personal pronouns -- No inclusive/exclusive distinction  [more]
16. Person syncretism in independent personal pronouns -- No person syncretism  [more]
17. Special dependent person forms for subject and object -- No dependent person forms  [more]
19. Interrogative pronouns -- All simple words  [more]
20. Pronoun conjunction -- Singular pronoun overtly conjoined with other conjunct  [more]
21. Indefinite pronouns -- Generic-noun-based indefinites  [more]
22. Occurrence of nominal plural markers -- Invariant plural marking  [more]
23. Expression of nominal plural meaning -- Plural stem change  [more]
23. Expression of nominal plural meaning -- Plural word preceding the noun  [more]
23. Expression of nominal plural meaning -- Plural suffix  [more]
24. The associative plural -- No associative plural marker  [more]
25. Nominal plural marker and third-person-plural pronoun -- No nominal plural word  [more]
26. Functions of reduplication -- Word-class-changing function  [more]
27. Antidual of paired body-part terms -- No antidual  [more]
28. Definite articles -- Neither definite nor indefinite article  [more]
29. Indefinite articles -- Neither indefinite nor definite article  [more]
30. Generic noun phrases in subject function -- Language without definite and indefinite article  [more]
31. Co-occurrence of demonstrative and definite article -- No definite article exists  [more]
32. Pronominal and adnominal demonstratives -- Same forms  [more]
33. Distance contrasts in demonstratives -- Two-way contrast  [more]
34. Adnominal distributive numerals -- No special adjacent distributive numerals  [more]
35. Ordinal numerals -- ‘First’, ‘second’, or more are suppletive, the others are synchronically derived from cardinal numerals  [more]
36. Sortal numeral classifiers -- The language has no numeral classifiers  [more]
37. Marking of pronominal possessors -- Adpositional phrase following the possessum  [more]
