tpi_id	tpi_text	eng_id	eng_text
1173255	Gude.	373330	Hello!
1173258	Yu stap gut?	373320	How are you?
1173260	Mi stap gut.	257272	I'm fine.
1173262	Husat nem bilong yu?	70623	What is your name?
1173264	Nem bilong mi emi Tom.	1173265	My name is Tom.
1173267	Gutpela long bungim yu.	499617	Nice to meet you.
1173269	Plis.	393357	Please.
1173271	Tenkyu.	374827	Thank you!
1173273	Nogat samting.	403068	You're welcome.
1173275	Yes.	477086	Yes.
1173277	Nogat.	477061	No.
1173279	Skius.	433504	Excuse me.
1173281	Mi sori tumas.	275979	I'm very sorry.
1173284	Gutbai.	516745	Goodbye!
1173287	Mi no save gut long Tok Pisin.	1173288	I can't speak Tok Pisin well.
1173289	Yu save long tok Inglis, a?	378270	Do you speak English?
1173291	Husat i save long tok Inglis?	925069	Is there someone here who speaks English?
1173295	Moning.	329713	Good morning!
1173297	Gut nait.	426950	Good night!
1173299	Mi no harim tok bilong yu.	376611	I don't understand.
1173301	Maski long planti toktok!	1173302	Enough of all this talking!
1173303	Smolhaus i stap we?	38937	Where is the toilet?
1173310	Larim mi.	27641	Leave me alone.
1173312	Noken holim mi!	1173313	Don't touch me!
1173314	Mi bai singautim polis.	1173315	I'll call the police.
1173316	Holim! Raskol!	1173317	Stop! Thief!
1173318	Mi nidim halivim bilong yu.	257113	I need your help.
1173320	Dispela em wanpela imegensi.	1173321	It's an emergency.
1173322	Mi no inap painim rot bilong mi.	455833	I'm lost.
2193748	Hemi wantem wan iPad mini.	2132677	She wants an iPad mini.
2332603	Gutpela Tru!	464478	Well done!
2718033	Mi stap rait wanpela pas.	258458	I'm writing a letter.
2718037	Mi stap kaikai wanpela ananas.	2718036	I'm eating a pineapple.
2724257	Mi stap long pos opis.	2724256	I'm in the post office.
2724269	Mi dringim wara.	7932256	I drink water.
4313817	Nau yet, Burj Khalifa em longpela haus go antap long skai, long graun.	1399479	Burj Khalifa is currently the tallest skyscraper in the world.
5893437	Nem bilong mi Jack.	1646	My name is Jack.
5893440	Nem bilong mi Yatarou.	321549	My name is Yatarou.
5893441	Nem bilong mi Hashimoto.	430219	My name is Hashimoto.
5893442	Nem bilong mi Henry.	456449	My name is Henry.
5893448	Ples bilong yu we?	370703	Where are you from?
5893457	Yu laik i sin daun.	38571	Sit down, please.
5893457	Yu laik i sin daun.	478180	Please sit.
5893461	Yu laik i sin daun!	1222430	Please sit down!
4332241	Mi no gat pukpuk.	7091729	I don't have a crocodile.
1818073	Pusi i stap long rum kuk.	7091730	The cat is in the kitchen.
1246010	Tumora bai mi askim em.	1330505	I will ask him tomorrow.
1245876	Ol pusi i gat naispela malumalu skin.	7091733	Cats have a nice, soft fur.
7091740	Tom i save go long haus blong mama na papa bilong em long olgeta wiken.	7079655	Every weekend, Tom goes to his parents' house.
7091790	Yu wokim wanem long hia?	61908	What are you doing here?
7091793	Yu go long we?	416367	Where are you going?
7091796	Mi na mama bilong mi ibai go long hausik	7091797	My mother and I will go to the hospital.
7091789	Wanem nem bilong yu?	408293	What's your name?
7091789	Wanem nem bilong yu?	70623	What is your name?
5893442	Nem bilong mi Henry.	3953825	My name's Henry.
5893437	Nem bilong mi Jack.	758904	My name's Jack.
2193748	Hemi wantem wan iPad mini.	1966584	He wants an iPad mini.
1818111	Pusi slip i stap long tebol.	1460044	The cat is sleeping on the table.
1254351	Yu papa bilong mi.	1097991	You are my father.
7091798	Wanem taim bai yu pinis long wok?	4061556	When do you get off work?
7091798	Wanem taim bai yu pinis long wok?	3818463	What time do you get off work?
1254351	Yu papa bilong mi.	10121813	You're my father.
7091798	Wanem taim bai yu pinis long wok?	1696809	What time do you finish work?
5893425	Yu olsem wanem?	2193749	What's up with you?
3829931	Marija Luisa i mama bilong et pikinini.	11628003	Marija Luisa is the mother of eight children.
2332603	Gutpela Tru!	11628014	So good!
1818111	Pusi slip i stap long tebol.	11628015	The cat is lying on the table.
1256252	Hamas tok i stap long Yurop?	1263645	How many languages are there in Europe?
1253829	Pukpuk i kaikai Tom pinis.	1253622	A crocodile has eaten Tom.
1173286	Lukim yu bihain.	1841588	See you later.
1197653	Mi no save.	349064	I don't know.
11465346	Nogat planti manmeri i save long toktok long Tok Pisin	13037081	There are not many people who know how to speak Tok Pisin.
11465339	Ol manmeri bilong Papua New Guinea ol i save toktok long Tok Pisin	13037082	Everyone in Papua New Guinea knows how to speak Tok Pisin.
13242411	Mi bai traim gen.	1089411	I will try again.
13242421	Wara i kol.	1984003	The water is cold.
13244627	Mi bin go long sios.	8880326	I went to church.
13248296	Bai mi ritim dispela buk.	3672457	I'll read this book.
13251143	Mi no sista bilong Tom.	2262031	I'm not Tom's sister.
13416406	Dispela pisin em i bikpela.	13320566	That bird is big.
13467013	Mipela i gat wanpela blak dok.	8889193	We have a black dog.
13630031	Erdoğan i stap Presiden bilong Teki.	9431873	Erdogan is the President of Turkey.
13737719	Em i gat tripela dok.	8480977	He has three dogs.
13737726	Mi no gat ambrela.	6269609	I don't have an umbrella.
13737806	Em i lukim hos bilong yu.	3033532	She sees your horse.
13737807	Em i lukim hos bilong yutupela.	3033532	She sees your horse.
13737808	Em i lukim hos bilong yutripela.	3033532	She sees your horse.
13737809	Em i lukim hos bilong yupela.	3033532	She sees your horse.
13737879	Hanrait bilong em i klia.	7940312	His handwriting is clear.
13746238	Mi laik ringim mama bilong mi.	11837122	I want to call my mom.
13849635	Yu stap long Saina.	8203362	You're in China.
